[2025-08-28 01:22:39] step: 0, train loss: 1.118, val loss: 1.126
[2025-08-28 01:26:37] step: 500, train loss: 1.127, val loss: 1.121

[2025-08-28 01:29:19] step: 0, train loss: 1.116, val loss: 1.118
[2025-08-28 01:33:18] step: 500, train loss: 1.115, val loss: 1.131
[2025-08-28 01:37:39] step: 1000, train loss: 1.117, val loss: 1.122
[2025-08-28 01:41:23] step: 1500, train loss: 1.121, val loss: 1.121
[2025-08-28 01:45:07] step: 2000, train loss: 1.103, val loss: 1.119
[2025-08-28 01:48:51] step: 2500, train loss: 1.125, val loss: 1.132
[2025-08-28 01:52:39] step: 3000, train loss: 1.116, val loss: 1.123
[2025-08-28 01:57:33] step: 3500, train loss: 1.110, val loss: 1.118
[2025-08-28 02:01:31] step: 4000, train loss: 1.114, val loss: 1.109
[2025-08-28 02:05:27] step: 4500, train loss: 1.113, val loss: 1.106
[2025-08-28 02:09:28] step: 5000, train loss: 1.101, val loss: 1.108
[2025-08-28 02:13:42] step: 5500, train loss: 1.107, val loss: 1.103
[2025-08-28 02:17:59] step: 6000, train loss: 1.101, val loss: 1.101
[2025-08-28 02:22:58] step: 6500, train loss: 1.106, val loss: 1.123
[2025-08-28 02:27:02] step: 7000, train loss: 1.110, val loss: 1.120
[2025-08-28 02:31:00] step: 7500, train loss: 1.094, val loss: 1.131
[2025-08-28 02:34:59] step: 8000, train loss: 1.106, val loss: 1.116
[2025-08-28 02:38:56] step: 8500, train loss: 1.109, val loss: 1.110
[2025-08-28 02:42:53] step: 9000, train loss: 1.128, val loss: 1.119
[2025-08-28 02:46:50] step: 9500, train loss: 1.107, val loss: 1.114
[2025-08-28 02:50:48] step: 10000, train loss: 1.099, val loss: 1.108
[2025-08-28 02:54:49] step: 10500, train loss: 1.105, val loss: 1.101
[2025-08-28 02:58:49] step: 11000, train loss: 1.115, val loss: 1.111
[2025-08-28 03:02:46] step: 11500, train loss: 1.101, val loss: 1.100
[2025-08-28 03:06:43] step: 12000, train loss: 1.114, val loss: 1.106
[2025-08-28 03:10:40] step: 12500, train loss: 1.101, val loss: 1.116
[2025-08-28 03:14:37] step: 13000, train loss: 1.105, val loss: 1.104
[2025-08-28 03:18:30] step: 13500, train loss: 1.106, val loss: 1.120
[2025-08-28 03:22:22] step: 14000, train loss: 1.109, val loss: 1.112
[2025-08-28 03:26:15] step: 14500, train loss: 1.114, val loss: 1.126

[2025-08-28 04:02:43] step: 0, train loss: 1.105, val loss: 1.111

[2025-08-28 04:24:36] step: 0, train loss: 1.109, val loss: 1.086

[2025-08-28 04:58:11] step: 0, train loss: 1.133, val loss: 1.117
[2025-08-28 05:06:14] step: 1000, train loss: 1.117, val loss: 1.116
